Year,Month,Day,Hour,Decimal Year,T
1940,6,8,0,1940.4344,17.321127
1940,6,8,6,1940.4351,14.277104
1940,6,8,12,1940.4358,13.088553
1940,6,8,18,1940.4365,19.020808
1940,6,9,0,1940.4372,19.239614
1940,6,9,6,1940.4378,17.361387
1940,6,9,12,1940.4385,16.666461
1940,6,9,18,1940.4392,18.630459
1940,6,10,0,1940.4399,14.868754
1940,6,10,6,1940.4406,11.744211
1940,6,10,12,1940.4413,10.839232
1940,6,10,18,1940.4419,15.306366
1940,6,11,0,1940.4426,13.114809
1940,6,11,6,1940.4433,11.093046
1940,6,11,12,1940.444,11.506151
1940,6,11,18,1940.4447,17.741234
1940,6,12,0,1940.4454,17.112824
1940,6,12,6,1940.446,15.397389
1940,6,12,12,1940.4467,17.284368
1940,6,12,18,1940.4474,21.569455
1940,6,13,0,1940.4481,20.074576
1940,6,13,6,1940.4488,17.851512
